"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"KAZ",1,2001,408.344966722675841733,89078.1225482453220105
"KAZ",2,2001,325.09576106713724274,97846.843144767099962
"KAZ",3,2001,21.22030785480902750,5635.692080334671691
"KAZ",4,2001,27.0118150961436669,6023.25415253588885
"KAZ",5,2001,1677.04929263202550048,347915.033965179422867
"KAZ",6,2001,12.18334196130642513,3584.81756779451015
"KAZ",7,2001,349.258339568847553456,111940.437308210635665
"KAZ",8,2001,481.28390132613505453,101353.692328365291026
"KAZ",9,2001,26.68037838401041766,7802.04243635950786
"KAZ",10,2001,419.02638409995448608,87244.667799262520059
"KAZ",11,2001,270.4767397802734863,71939.13478535610714
"KAZ",12,2001,150.05251349243682495,33868.756333045869158
"KAZ",13,2001,116.84260226273864749,30088.161071618647007
"KAZ",14,2001,250.17639707515397117,52659.406409920468247
"KAZ",1,2002,379.893834093548142035,95559.68232678470599
"KAZ",2,2002,194.63073085389545145,59513.55132765717607
"KAZ",3,2002,5.626275409140625345,1309.581885126860808
"KAZ",4,2002,21.9424622490386287,4333.231259626898476
"KAZ",5,2002,1013.386147660455868685,225407.6668040477126343
"KAZ",6,2002,10.89138411895399456,2570.52477517258073
"KAZ",7,2002,166.06905771404298744,60233.758245576232638
"KAZ",8,2002,388.96442113630394390,86395.104452260781874
"KAZ",9,2002,28.63452807237847006,7350.103354227052987
"KAZ",10,2002,220.30740987068581035,53325.893747511703345
"KAZ",11,2002,99.33640462572264494,24938.669391722953254
"KAZ",12,2002,209.77917464556214588,49662.048850691466786
"KAZ",13,2002,51.060180087411035135,11872.865749426049369
"KAZ",14,2002,161.78461318711373782,36482.689584642157057
"KAZ",1,2003,80.47234035925563908,19255.126299685718571
"KAZ",2,2003,381.27307244902358243,97592.692363679649714
"KAZ",3,2003,5.148514838717448806,1422.602734545206969
"KAZ",4,2003,14.64759344052301535,3255.5868711173766
"KAZ",5,2003,1868.02355887259666727,321789.04085131503002634
"KAZ",6,2003,0.98781621934895841,230.024647228871318
"KAZ",7,2003,345.80726038702078236,94362.611024817984064
"KAZ",8,2003,258.627204322738701076,34267.3991505756936950
"KAZ",9,2003,23.0179832820681306,4100.98355416653280
"KAZ",10,2003,131.343872801354091225,23663.541670991444416
"KAZ",11,2003,34.38339108390191625,8829.43179162591404
"KAZ",12,2003,125.1432563025521557,28593.8596340105130192
"KAZ",13,2003,46.32217444086371815,13528.445625260813240
"KAZ",14,2003,36.6608619179340261,8644.1103475638781146
"KAZ",1,2004,280.47542324146267069,62821.745367473729794
"KAZ",2,2004,624.99938473515621362,132476.639391240080004
"KAZ",3,2004,3.490460902571614387,960.385468718485922
"KAZ",4,2004,18.7276556570941898,3772.96142509800259
"KAZ",5,2004,3052.355478407009242376,659785.5110506557170351
"KAZ",6,2004,4.16434864852213569,992.22159120005458
"KAZ",7,2004,304.76923764024084725,97013.938961389893364
"KAZ",8,2004,168.36693935328744695,38316.592054144529880
"KAZ",9,2004,61.83795363036019815,11594.80855759362707
"KAZ",10,2004,765.85191691138906085,129217.648078601350218
"KAZ",11,2004,48.35936882447699237,11585.51874856655771
"KAZ",12,2004,103.74911771779523072,23703.81686696782017
"KAZ",13,2004,31.51469273876953358,8266.9114400414286416
"KAZ",14,2004,44.43987187380425667,9977.26524307566951776
"KAZ",1,2005,92.7288249242968725,20662.44621950053376
"KAZ",2,2005,430.79950078108495184,133010.14727421139883
"KAZ",3,2005,2.35303634706597232,536.153812030264819
"KAZ",4,2005,5.22474635959201384,695.908755014887222
"KAZ",5,2005,797.027798793909777936,245537.7174363578699606
"KAZ",6,2005,0.32959872420355906,82.513702762955675
"KAZ",7,2005,697.32423410277937340,266830.78596863820227
"KAZ",8,2005,415.36023710845057506,65280.908696948074514
"KAZ",9,2005,9.13053454217881962,3077.615564317156434
"KAZ",10,2005,555.85538707024291419,130946.300936177269556
"KAZ",11,2005,39.89803013899088142,10245.706712576012064
"KAZ",12,2005,35.5370797711263049,8607.94575923605243
"KAZ",13,2005,47.298064222588969514,12235.951499807996169
"KAZ",14,2005,37.6757283229839458,8080.973788615493961
"KAZ",1,2006,149.13019018441404671,29028.027174694041039
"KAZ",2,2006,292.29188253716354655,59056.362204816785785
"KAZ",3,2006,26.7732412505056394,6971.75808902368784
"KAZ",4,2006,36.2224721694270814,7264.554390507002674
"KAZ",5,2006,1308.62760475827260056,359795.618003374654110
"KAZ",6,2006,3.88857815248046865,996.205575425770957
"KAZ",7,2006,129.71297487385852640,49774.63991444097181
"KAZ",8,2006,637.72117100584486120,106019.662147404786792
"KAZ",9,2006,33.63176470260416592,9645.34094206148957
"KAZ",10,2006,299.57766446950525296,83329.30492368169698
"KAZ",11,2006,30.04751854224392284,7653.175746882551725
"KAZ",12,2006,26.49534021750000261,6922.883936399934864
"KAZ",13,2006,103.01853355479385412,30541.567872434884882
"KAZ",14,2006,64.898697371985661,15534.37359836948832245
"KAZ",1,2007,207.0322168534397160,48337.001285401073399
"KAZ",2,2007,286.42598996572264369,96774.52214355659262
"KAZ",3,2007,15.4836799104665787,5055.18960482812111
"KAZ",4,2007,13.60113375021050615,1749.28804455523905
"KAZ",5,2007,1184.577129259798249444,335091.550647794788354
"KAZ",6,2007,4.06625640755425388,955.83046658315812
"KAZ",7,2007,229.39797105928384027,96694.27005840670386
"KAZ",8,2007,1466.615773945077757106,294576.102041214031708
"KAZ",9,2007,21.1200746499978369,6856.10162820652163
"KAZ",10,2007,383.70738268244502202,110069.537488947971375
"KAZ",11,2007,50.07479321136718577,12035.64185584377867
"KAZ",12,2007,52.1906811673480900,12876.4712752293751
"KAZ",13,2007,119.808840033756568395,33686.825432555388352
"KAZ",14,2007,571.33571650558539448,122418.97361631038996
"KAZ",1,2008,169.39554420940537449,39336.099501804756231
"KAZ",2,2008,84.270654278799824666,24919.393837935700316
"KAZ",3,2008,88.35537298116317155,27049.06818950726752
"KAZ",4,2008,30.1195585919118839,5840.398350029130707
"KAZ",5,2008,829.635130433759524736,211281.370839566388686
"KAZ",6,2008,1.75714809790581590,436.161623976076514
"KAZ",7,2008,407.110005906386646970,170483.128845200197383
"KAZ",8,2008,303.02020096620268155,54016.397205590338327
"KAZ",9,2008,23.39213141038628789,5960.93760143211296
"KAZ",10,2008,2313.89097629729735988,478516.530217496374679
"KAZ",11,2008,49.08668055560764258,13438.172529696373136
"KAZ",12,2008,44.6388324950672741,11532.83151113004355
"KAZ",13,2008,150.18928452241748168,53864.686897394825627
"KAZ",14,2008,53.716225599917541,13224.9625978048471006
"KAZ",1,2009,252.81071553523430421,60874.258884151928922
"KAZ",2,2009,800.42652922009805460,246005.334064143771242
"KAZ",3,2009,182.056912434368702,56731.7678293703246
"KAZ",4,2009,14.7382570683897514,2816.472277095820875
"KAZ",5,2009,2571.93583088133904264,583029.0080232894750198
"KAZ",6,2009,5.684319365855034775,1657.35410776109018
"KAZ",7,2009,910.674179946071355604,380916.749840762878841
"KAZ",8,2009,273.76680310949884838,95846.1367970615973153
"KAZ",9,2009,86.014546029325049694,27632.541547667929240
"KAZ",10,2009,686.11102203274617097,225412.937944430021025
"KAZ",11,2009,196.30404690608301587,55470.779002237562948
"KAZ",12,2009,100.95171485033854687,25406.455551131179584
"KAZ",13,2009,101.9592835498220446,38427.537963628124202
"KAZ",14,2009,249.2133366718623918,56127.51509044198925
"KAZ",1,2010,171.80930503326172902,44007.8869341390630946
"KAZ",2,2010,250.40143514821155686,92833.91668376387929
"KAZ",3,2010,30.07431925412759233,8390.06672531763121
"KAZ",4,2010,18.07583682032769007,3666.61529628940791
"KAZ",5,2010,940.17879679446766614,298872.2519374758273747
"KAZ",6,2010,3.64933604420355978,960.913374432151207
"KAZ",7,2010,732.80396263900152580,329942.363336552905464
"KAZ",8,2010,45.965136906098084485,15315.096227165182100
"KAZ",9,2010,21.6031036600368897,6545.12513196287622
"KAZ",10,2010,482.737362143398302655,176397.807335831277857
"KAZ",11,2010,37.42352655240669823,11048.832107175026174
"KAZ",12,2010,23.4357744353993074,6342.35334415449843
"KAZ",13,2010,143.0808067003386435,47694.678689506974286
"KAZ",14,2010,207.67715423546982733,51573.15220120534292
"KAZ",1,2011,95.66597114051432841,26613.5147807556334455
"KAZ",2,2011,857.4199391853891943,338676.71752455922658
"KAZ",3,2011,20.36315217993923717,6894.464978817741054
"KAZ",4,2011,36.7398124516753345,2473.58061023569071
"KAZ",5,2011,302.164749595796535627,93972.999261428184401
"KAZ",6,2011,6.7785324692534720,1767.64048278115844
"KAZ",7,2011,1789.90113034732089205,796915.84945873142125
"KAZ",8,2011,126.48940284121085568,33943.5594392093323774
"KAZ",9,2011,51.8205294860221375,18223.12597580333054
"KAZ",10,2011,1318.01176722334151166,458536.0754559575941
"KAZ",11,2011,37.58334532089193331,11100.762935659930398
"KAZ",12,2011,43.35485693281249646,11430.549466027334938
"KAZ",13,2011,109.98193582394096662,34919.43952096085528
"KAZ",14,2011,56.0631179480012994,14406.4339257741834897
"KAZ",1,2012,395.617004497224221364,92633.5470245741470334
"KAZ",2,2012,156.05451014110029015,60329.688654018230842
"KAZ",3,2012,42.69524532786024833,13333.960726841675497
"KAZ",4,2012,42.0584003760850933,2844.62652190011509161
"KAZ",5,2012,1282.63102855012472811,390508.237640171634996
"KAZ",6,2012,1.03921499330729172,241.44526527227728
